origem,destino,acao,peso_sugerido,numero_pr
yonaskolb,hakkurishian,MERGE,5,1191
yonaskolb,hakkurishian,COMMENTED,4,1191
yonaskolb,hakkurishian,APPROVED,4,1191
yonaskolb,gabriellanata,MERGE,5,1189
yonaskolb,gabriellanata,COMMENTED,4,1189
yonaskolb,gabriellanata,APPROVED,4,1189
hakkurishian,dalemyers,APPROVED,4,1187
yonaskolb,dalemyers,COMMENTED,4,1187
tr1ckyf0x,dalemyers,APPROVED,4,1187
yonaskolb,evandcoleman,MERGE,5,1185
yonaskolb,evandcoleman,APPROVED,4,1185
yonaskolb,tr1ckyf0x,MERGE,5,1181
Alptwo,tr1ckyf0x,APPROVED,4,1181
Dm94st,tr1ckyf0x,APPROVED,4,1181
Alptwo,tr1ckyf0x,APPROVED,4,1181
yonaskolb,tr1ckyf0x,COMMENTED,4,1181
yonaskolb,tr1ckyf0x,APPROVED,4,1181
yonaskolb,bimawa,MERGE,5,1179
yonaskolb,bimawa,COMMENTED,4,1179
yonaskolb,bimawa,COMMENTED,4,1179
yonaskolb,bimawa,APPROVED,4,1179
yonaskolb,John-Connolly,MERGE,5,1175
yonaskolb,John-Connolly,COMMENTED,4,1175
yonaskolb,John-Connolly,APPROVED,4,1175
freddi-kit,skofgar,COMMENTED,4,1170
yonaskolb,freddi-kit,MERGE,5,1169
kateinoigakukun,freddi-kit,APPROVED,4,1169
yonaskolb,freddi-kit,APPROVED,4,1169
yonaskolb,zenangst,COMMENTED,4,1154
yonaskolb,KrisRJack,MERGE,5,1153
yonaskolb,KrisRJack,COMMENTED,4,1153
yonaskolb,KrisRJack,APPROVED,4,1153
yonaskolb,wendyliga,MERGE,5,1142
yonaskolb,wendyliga,COMMENTED,4,1142
teameh,wendyliga,COMMENTED,4,1142
yonaskolb,wendyliga,COMMENTED,4,1142
yonaskolb,wendyliga,COMMENTED,4,1142
yonaskolb,wendyliga,COMMENTED,4,1142
yonaskolb,wendyliga,COMMENTED,4,1142
teameh,wendyliga,COMMENTED,4,1142
teameh,wendyliga,COMMENTED,4,1142
teameh,wendyliga,COMMENTED,4,1142
teameh,wendyliga,COMMENTED,4,1142
teameh,wendyliga,COMMENTED,4,1142
yonaskolb,wendyliga,APPROVED,4,1142
yonaskolb,SofteqDG,MERGE,5,1135
yonaskolb,SofteqDG,COMMENTED,4,1135
yonaskolb,yimajo,MERGE,5,1134
freddi-kit,yimajo,APPROVED,4,1134
yonaskolb,yimajo,APPROVED,4,1134
yonaskolb,mthole,MERGE,5,1130
freddi-kit,mthole,COMMENTED,4,1130
freddi-kit,mthole,COMMENTED,4,1130
freddi-kit,mthole,APPROVED,4,1130
freddi-kit,mthole,COMMENTED,4,1130
freddi-kit,mthole,COMMENTED,4,1130
freddi-kit,mthole,COMMENTED,4,1130
freddi-kit,mthole,COMMENTED,4,1130
yonaskolb,mthole,COMMENTED,4,1130
yonaskolb,mthole,COMMENTED,4,1130
yonaskolb,mthole,APPROVED,4,1130
freddi-kit,raptorxcz,COMMENTED,4,1129
freddi-kit,raptorxcz,APPROVED,4,1129
freddi-kit,raptorxcz,COMMENTED,4,1129
freddi-kit,raptorxcz,COMMENTED,4,1129
yonaskolb,nnsnodnb,MERGE,5,1125
yonaskolb,nnsnodnb,COMMENTED,4,1125
yonaskolb,nnsnodnb,APPROVED,4,1125
yonaskolb,raptorxcz,MERGE,5,1123
yonaskolb,raptorxcz,APPROVED,4,1123
yonaskolb,PaulTaykalo,MERGE,5,1122
yonaskolb,PaulTaykalo,COMMENTED,4,1122
yonaskolb,PaulTaykalo,COMMENTED,4,1122
yonaskolb,PaulTaykalo,APPROVED,4,1122
yonaskolb,adamawolf,MERGE,5,1115
yonaskolb,adamawolf,APPROVED,4,1115
yonaskolb,namolnad,MERGE,5,1112
yonaskolb,namolnad,COMMENTED,4,1112
yonaskolb,namolnad,APPROVED,4,1112
yonaskolb,RomanPodymov,MERGE,5,1107
yonaskolb,RomanPodymov,APPROVED,4,1107
yonaskolb,kateinoigakukun,MERGE,5,1104
yonaskolb,kateinoigakukun,COMMENTED,4,1104
yonaskolb,kateinoigakukun,APPROVED,4,1104
yonaskolb,knothed,MERGE,5,1096
yonaskolb,knothed,APPROVED,4,1096
yonaskolb,vgorloff,MERGE,5,1094
yonaskolb,vgorloff,COMMENTED,4,1094
yonaskolb,vgorloff,APPROVED,4,1094
yonaskolb,brevansio,MERGE,5,1091
yonaskolb,brevansio,APPROVED,4,1091
yonaskolb,daltonclaybrook,MERGE,5,1087
yonaskolb,daltonclaybrook,COMMENTED,4,1087
yonaskolb,daltonclaybrook,APPROVED,4,1087
freddi-kit,platysma,COMMENTED,4,1085
freddi-kit,platysma,APPROVED,4,1085
yonaskolb,platysma,COMMENTED,4,1085
yonaskolb,elliottwilliams,MERGE,5,1081
yonaskolb,elliottwilliams,APPROVED,4,1081
yonaskolb,elliottwilliams,APPROVED,4,1081
yonaskolb,DavidWoohyunLee,MERGE,5,1078
yonaskolb,DavidWoohyunLee,COMMENTED,4,1078
yonaskolb,DavidWoohyunLee,COMMENTED,4,1078
yonaskolb,freddi-kit,MERGE,5,1075
yonaskolb,freddi-kit,APPROVED,4,1075
giginet,freddi-kit,COMMENTED,4,1074
kateinoigakukun,freddi-kit,CHANGES_REQUESTED,4,1074
yonaskolb,freddi-kit,COMMENTED,4,1074
yonaskolb,freddi-kit,COMMENTED,4,1074
tww0003,freddi-kit,COMMENTED,4,1074
skofgar,freddi-kit,COMMENTED,4,1074
fousa,freddi-kit,COMMENTED,4,1074
freddi-kit,yonaskolb,APPROVED,4,1072
freddi-kit,yonaskolb,COMMENTED,4,1072
yonaskolb,yanamura,MERGE,5,1067
yonaskolb,yanamura,COMMENTED,4,1067
yonaskolb,yanamura,COMMENTED,4,1067
yonaskolb,yanamura,COMMENTED,4,1067
yonaskolb,yanamura,APPROVED,4,1067
yonaskolb,yanamura,MERGE,5,1065
yonaskolb,yanamura,APPROVED,4,1065
yonaskolb,freddi-kit,MERGE,5,1064
yonaskolb,freddi-kit,APPROVED,4,1064
yonaskolb,elliottwilliams,MERGE,5,1057
freddi-kit,elliottwilliams,COMMENTED,4,1057
yonaskolb,elliottwilliams,COMMENTED,4,1057
yonaskolb,elliottwilliams,APPROVED,4,1057
freddi-kit,d-date,APPROVED,4,1049
yonaskolb,elliottwilliams,MERGE,5,1041
yonaskolb,elliottwilliams,COMMENTED,4,1041
yonaskolb,elliottwilliams,COMMENTED,4,1041
yonaskolb,elliottwilliams,APPROVED,4,1041
yonaskolb,dalemyers,MERGE,5,1040
freddi-kit,dalemyers,APPROVED,4,1040
yonaskolb,dalemyers,APPROVED,4,1040
yonaskolb,JakubBednar,MERGE,5,1039
freddi-kit,JakubBednar,COMMENTED,4,1039
freddi-kit,JakubBednar,COMMENTED,4,1039
yonaskolb,JakubBednar,COMMENTED,4,1039
yonaskolb,JakubBednar,CHANGES_REQUESTED,4,1039
yonaskolb,freddi-kit,MERGE,5,1036
yonaskolb,freddi-kit,COMMENTED,4,1036
yonaskolb,freddi-kit,COMMENTED,4,1036
yonaskolb,freddi-kit,COMMENTED,4,1036
yonaskolb,freddi-kit,COMMENTED,4,1036
yonaskolb,freddi-kit,APPROVED,4,1036
yonaskolb,freddi-kit,MERGE,5,1035
yonaskolb,freddi-kit,APPROVED,4,1035
yonaskolb,liamnichols,MERGE,5,1027
yonaskolb,liamnichols,COMMENTED,4,1027
yonaskolb,liamnichols,COMMENTED,4,1027
yonaskolb,liamnichols,COMMENTED,4,1027
freddi-kit,liamnichols,COMMENTED,4,1027
freddi-kit,liamnichols,COMMENTED,4,1027
yonaskolb,liamnichols,APPROVED,4,1027
yonaskolb,jcolicchio,MERGE,5,1026
liamnichols,jcolicchio,APPROVED,4,1026
yonaskolb,jcolicchio,APPROVED,4,1026
yonaskolb,thii,MERGE,5,1024
yonaskolb,thii,COMMENTED,4,1024
yonaskolb,thii,APPROVED,4,1024
toshi0383,thii,COMMENTED,4,1024
yonaskolb,FranzBusch,MERGE,5,1015
yonaskolb,FranzBusch,COMMENTED,4,1015
yonaskolb,Andre113,MERGE,5,1013
yonaskolb,Andre113,COMMENTED,4,1013
yonaskolb,polac24,MERGE,5,1012
yonaskolb,polac24,APPROVED,4,1012
yonaskolb,literalpie,MERGE,5,1011
yonaskolb,literalpie,APPROVED,4,1011
yonaskolb,mrabiciu,MERGE,5,1003
yonaskolb,mrabiciu,COMMENTED,4,1003
yonaskolb,mrabiciu,APPROVED,4,1003
yonaskolb,elliottwilliams,MERGE,5,995
yonaskolb,elliottwilliams,APPROVED,4,995
yonaskolb,myihsan,MERGE,5,993
yonaskolb,myihsan,MERGE,5,992
brentleyjones,myihsan,APPROVED,4,992
yonaskolb,myihsan,APPROVED,4,992
yonaskolb,bannzai,MERGE,5,990
giginet,bannzai,COMMENTED,4,990
giginet,bannzai,APPROVED,4,990
yonaskolb,bannzai,COMMENTED,4,990
yonaskolb,bannzai,APPROVED,4,990
yonaskolb,elliottwilliams,MERGE,5,988
yonaskolb,elliottwilliams,COMMENTED,4,988
yonaskolb,elliottwilliams,APPROVED,4,988
yonaskolb,swiftty,MERGE,5,984
brentleyjones,swiftty,APPROVED,4,984
yonaskolb,swiftty,APPROVED,4,984
yonaskolb,jcolicchio,MERGE,5,982
yonaskolb,jcolicchio,COMMENTED,4,982
yonaskolb,jcolicchio,APPROVED,4,982
yonaskolb,jcolicchio,MERGE,5,981
yonaskolb,jcolicchio,COMMENTED,4,981
yonaskolb,jcolicchio,APPROVED,4,981
yonaskolb,stefanomondino,MERGE,5,976
yonaskolb,stefanomondino,COMMENTED,4,976
yonaskolb,stefanomondino,COMMENTED,4,976
yonaskolb,stefanomondino,COMMENTED,4,976
yonaskolb,stefanomondino,COMMENTED,4,976
yonaskolb,stefanomondino,COMMENTED,4,976
yonaskolb,stefanomondino,COMMENTED,4,976
yonaskolb,stefanomondino,APPROVED,4,976
yonaskolb,alvarhansen,MERGE,5,974
yonaskolb,alvarhansen,APPROVED,4,974
yonaskolb,jcolicchio,MERGE,5,973
yonaskolb,jcolicchio,COMMENTED,4,973
yonaskolb,jcolicchio,APPROVED,4,973
yonaskolb,joshwalker,MERGE,5,967
brentleyjones,joshwalker,APPROVED,4,967
yonaskolb,joshwalker,APPROVED,4,967
yonaskolb,jcolicchio,MERGE,5,964
gemmakbarlow,jcolicchio,APPROVED,4,964
gemmakbarlow,jcolicchio,COMMENTED,4,964
gemmakbarlow,jcolicchio,COMMENTED,4,964
yonaskolb,jcolicchio,COMMENTED,4,964
yonaskolb,jcolicchio,COMMENTED,4,964
yonaskolb,jcolicchio,COMMENTED,4,964
yonaskolb,jcolicchio,APPROVED,4,964
liamnichols,jcolicchio,COMMENTED,4,964
liamnichols,jcolicchio,COMMENTED,4,964
yonaskolb,ken0nek,MERGE,5,962
yonaskolb,ken0nek,APPROVED,4,962
yonaskolb,liamnichols,MERGE,5,961
yonaskolb,liamnichols,APPROVED,4,961
yonaskolb,codeman9,MERGE,5,957
keith,codeman9,APPROVED,4,957
yonaskolb,codeman9,APPROVED,4,957
yonaskolb,hagmas,MERGE,5,956
yonaskolb,hagmas,APPROVED,4,956
yonaskolb,liamnichols,MERGE,5,955
yonaskolb,liamnichols,APPROVED,4,955
yonaskolb,liamnichols,MERGE,5,953
yonaskolb,liamnichols,COMMENTED,4,953
yonaskolb,liamnichols,COMMENTED,4,953
yonaskolb,liamnichols,APPROVED,4,953
yonaskolb,rinsuki,MERGE,5,952
yonaskolb,rinsuki,APPROVED,4,952
yonaskolb,raptorxcz,MERGE,5,951
davidrothera,raptorxcz,APPROVED,4,951
yonaskolb,raptorxcz,COMMENTED,4,951
yonaskolb,raptorxcz,COMMENTED,4,951
yonaskolb,raptorxcz,COMMENTED,4,951
yonaskolb,raptorxcz,COMMENTED,4,951
yonaskolb,raptorxcz,COMMENTED,4,951
yonaskolb,raptorxcz,COMMENTED,4,951
yonaskolb,raptorxcz,COMMENTED,4,951
freddi-kit,raptorxcz,COMMENTED,4,951
yonaskolb,sascha,MERGE,5,950
yonaskolb,sascha,COMMENTED,4,950
yonaskolb,sascha,APPROVED,4,950
yonaskolb,RomanPodymov,MERGE,5,948
yonaskolb,RomanPodymov,APPROVED,4,948
yonaskolb,anivaros,MERGE,5,945
yonaskolb,anivaros,COMMENTED,4,945
yonaskolb,daltonclaybrook,MERGE,5,942
yonaskolb,daltonclaybrook,COMMENTED,4,942
yonaskolb,daltonclaybrook,COMMENTED,4,942
yonaskolb,daltonclaybrook,COMMENTED,4,942
yonaskolb,daltonclaybrook,APPROVED,4,942
Hally21,daltonclaybrook,COMMENTED,4,942
yonaskolb,dflems,MERGE,5,936
yonaskolb,dflems,COMMENTED,4,936
brentleyjones,dflems,APPROVED,4,936
yonaskolb,dflems,COMMENTED,4,936
yonaskolb,dflems,COMMENTED,4,936
yonaskolb,dflems,APPROVED,4,936
yonaskolb,brentleyjones,MERGE,5,932
yonaskolb,pvinis,MERGE,5,931
brentleyjones,pvinis,APPROVED,4,931
yonaskolb,kant,MERGE,5,930
yonaskolb,kant,APPROVED,4,930
yonaskolb,polac24,MERGE,5,929
keith,polac24,APPROVED,4,929
yonaskolb,polac24,APPROVED,4,929
