origem,destino,tipo,peso_sugerido,numero_issue
yonaskolb,imWildCat,issue,2,1156
farshadtx,KrisRJack,pr,2,1153
LuAndreCast,KrisRJack,pr,2,1153
yonaskolb,KrisRJack,pr,2,1153
Chris-Corea,bimawa,issue,2,1148
teameh,wendyliga,pr,2,1142
teameh,wendyliga,pr,2,1142
teameh,wendyliga,pr,2,1142
yageek,wendyliga,pr,2,1142
teameh,wendyliga,pr,2,1142
huaqixue,wendyliga,pr,2,1142
mbaikovets,wendyliga,pr,2,1142
teameh,wendyliga,pr,2,1142
teameh,wendyliga,pr,2,1142
teameh,wendyliga,pr,2,1142
teameh,wendyliga,pr,2,1142
teameh,wendyliga,pr,2,1142
yonaskolb,wendyliga,pr,2,1142
teameh,wendyliga,pr,2,1142
yonaskolb,SofteqDG,pr,2,1135
Kylmakalle,brandtdaniels,issue,2,1133
Sherlouk,WesleyJacobsMP,issue,2,1132
Sherlouk,WesleyJacobsMP,issue,2,1132
yonaskolb,WesleyJacobsMP,issue,2,1132
Nonouf,dalemyers,issue,2,1131
guojiubo,dalemyers,issue,2,1131
vguerci,dalemyers,issue,2,1131
dungi,dalemyers,issue,2,1131
ghost,dalemyers,issue,2,1131
ghost,dalemyers,issue,2,1131
vguerci,dalemyers,issue,2,1131
freddi-kit,mthole,pr,2,1130
freddi-kit,mthole,pr,2,1130
freddi-kit,mthole,pr,2,1130
freddi-kit,mthole,pr,2,1130
freddi-kit,mthole,pr,2,1130
0111b,raptorxcz,pr,2,1129
mthole,raptorxcz,pr,2,1129
mthole,raptorxcz,pr,2,1129
freddi-kit,raptorxcz,pr,2,1129
freddi-kit,raptorxcz,pr,2,1129
freddi-kit,raptorxcz,pr,2,1129
TheCoordinator,shuguenot,issue,2,1127
yonaskolb,shuguenot,issue,2,1127
TheCoordinator,shuguenot,issue,2,1127
TheCoordinator,shuguenot,issue,2,1127
venturafonso,shuguenot,issue,2,1127
raptorxcz,shuguenot,issue,2,1127
gormster,shuguenot,issue,2,1127
raptorxcz,shuguenot,issue,2,1127
yonaskolb,shuguenot,issue,2,1127
4brunu,lukewakeford,issue,2,1126
yonaskolb,PaulTaykalo,pr,2,1122
namolnad,PaulTaykalo,pr,2,1122
keith,PaulTaykalo,pr,2,1122
keith,PaulTaykalo,pr,2,1122
havebeenfitz,hainayanda,issue,2,1118
yonaskolb,hainayanda,issue,2,1118
havebeenfitz,hainayanda,issue,2,1118
MartinP7r,hainayanda,issue,2,1118
maxkraev-personal,hainayanda,issue,2,1118
himammz,hainayanda,issue,2,1118
yonaskolb,adamawolf,issue,2,1114
yonaskolb,MetaBBLv,issue,2,1113
yonaskolb,namolnad,issue,2,1111
WeijunDeng,dungi,issue,2,1106
yonaskolb,kateinoigakukun,pr,2,1104
yonaskolb,knothed,pr,2,1096
smic,Attiv,issue,2,1095
PaulTaykalo,jakubkiermasz-zd,issue,2,1093
PaulTaykalo,jakubkiermasz-zd,issue,2,1093
yonaskolb,brevansio,issue,2,1089
